name_ja,name_en,name_zh_cn,name_ko,name_vi,name_ru,name_id,note_ja,note_en,fee,trash_type_str
サイクリングマシーン,Cycling machine,动感单车/健身车,사이클링 머신,Máy đạp xe thể dục,Велотренажер,Mesin sepeda,小型家電の無料回収に出すと資源に！／※一人で動かすことが困難な製品は小型家電の無料回収に出せません,Can be recycled via free small electronics collection. Items difficult for one person to move are excluded.,有料,大型ごみ
座いす,Floor chair (Zaisu),座いす/日式地板椅,좌식 의자,Ghế bệt,Напольное кресло,Kursi lantai,木製はリユース（再利用）収集対象,Wooden items are eligible for reuse collection.,有料,大型ごみ
在宅医療関係廃棄物,Home medical waste,家庭医疗废弃物,재택 의료 관련 폐기물,Chất thải y tế tại nhà,"Отходы, связанные с домашним лечением",Limbah terkait perawatan medis di rumah,注射針は、かかりつけの病院へ,Syringes must be returned to the primary hospital.,有料,燃やせるごみ
サイドボード,Sideboard,餐具柜/边柜,사이드보드,Tủ phụ,Сервант/Комод,Papan samping,木製はリユース（再利用）収集対象,Wooden items are eligible for reuse collection.,有料,大型ごみ
財布,Wallet,钱包,지갑,Ví,Кошелек,Dompet,なし,N/A,有料,燃やせるごみ
材木類（庭木以外）,Lumber (Excluding garden trees),木材类（庭院树木除外）,재목류 (정원수 제외),Gỗ (trừ cây cảnh),Пиломатериалы (кроме садовых деревьев),Kayu (kecuali pohon kebun),なし,N/A,有料,燃やせるごみ
サインペン,Felt-tip pen / Marker,记号笔/水笔,사인펜,Bút dạ quang,Маркер/Фломастер,Pulpen tanda tangan,なし,N/A,有料,燃やせるごみ
サウナ（家庭用木製）,Sauna (Household wooden),桑拿房（家用木制）,사우나 (가정용 목제),"Phòng xông hơi (Gia đình, bằng gỗ)",Сауна (домашняя деревянная),Sauna (kayu rumah tangga),なし,N/A,有料,大型ごみ
作業用具類,Working tools,作业工具类,작업 도구류,Dụng cụ làm việc,Рабочий инвентарь,Peralatan kerja,くわ・スコップ・つるはし・ジョンバ・竹ぼうき・アメリカンレーキなど,"Includes hoes, shovels, picks, rakes, etc.",有料,大型ごみ
作業用台車（ねこ車）,Wheelbarrow / Utility cart,作业推车（独轮车）,작업용 수레 (외바퀴 손수레),Xe đẩy hàng (xe rùa),Тележка рабочая (тачка),Gerobak dorong kerja,なし,N/A,有料,大型ごみ
座卓,Low table / Zaisu table,日式矮桌,좌탁,Bàn thấp,Низкий столик,Meja rendah,木製はリユース（再利用）収集対象,Wooden items are eligible for reuse collection.,有料,大型ごみ
雑誌,Magazines,杂志,잡지,Tạp chí,Журналы,Majalah,古紙（新聞・雑誌・ダンボール）の無料回収のページから、集団資源回収や回収拠点のご利用方法をお調べいただけます。／やむを得ない場合は「燃やせるごみ」で収集,"Check the waste paper collection page for recycling options. If unavoidable, dispose as Burnable Waste.",-,集団資源回収など
座布団,Zabuton (Japanese cushion),日式坐垫,방석,Đệm ngồi (Zabuton),Подушка для сидения (Дзабутон),Bantal duduk (Zabuton),なし,N/A,有料,燃やせるごみ
サボテン,Cactus,仙人掌,선인장,Xương rồng,Кактус,Kaktus,収集期間外は「燃やせるごみ」または「大型ごみ」,"Outside collection periods, dispose as Burnable or Bulky Waste.",無料,枝・葉・草
ざる（木製・プラ製）,Colander/Sieve (Wooden or Plastic),笊篱（木制/塑料）,채 (나무/플라스틱),Rổ (Gỗ hoặc nhựa),Дуршлаг/Сито (дерево или пластик),Saringan (kayu atau plastik),なし,N/A,有料,燃やせるごみ
ざる（木製・プラ製以外）,Colander/Sieve (Non-wooden/Non-plastic),笊篱（非木制/非塑料）,채 (나무/플라스틱 외),Rổ (Không phải gỗ/nhựa),Дуршлаг/Сито (не дерево/не пластик),Saringan (bukan kayu/plastik),なし,N/A,有料,燃やせないごみ
三角コーナー（金属製）,Sink corner strainer (Metal),水槽三角篮（金属制）,싱크대 코너 쓰레기통 (금속제),Rổ góc bồn rửa (Kim loại),Угловой фильтр для раковины (металлический),Saringan sudut wastafel (logam),なし,N/A,有料,燃やせないごみ
三角コーナー（プラ製）,Sink corner strainer (Plastic),水槽三角篮（塑料制）,싱크대 코너 쓰레기통 (플라스틱제),Rổ góc bồn rửa (Nhựa),Угловой фильтр для раковины (пластиковый),Saringan sudut wastafel (plastik),なし,N/A,有料,燃やせるごみ
三角コーン,Traffic cone,交通锥,삼각콘 (라바콘),Cọc tiêu giao thông,Дорожный конус,Kerucut lalu lintas,なし,N/A,有料,燃やせるごみ
三脚,Tripod,三脚架,삼각대,Chân máy (Tripod),Штатив/Тренога,Tripod,なし,N/A,有料,大型ごみ
サングラス（プラ製）,Sunglasses (Plastic),太阳镜（塑料制）,선글라스 (플라스틱제),Kính râm (Nhựa),Солнцезащитные очки (пластиковые),Kacamata hitam (plastik),なし,N/A,有料,燃やせるごみ
サングラス（プラ製以外）,Sunglasses (Non-plastic),太阳镜（非塑料制）,선글라스 (플라스틱 외),Kính râm (Không phải nhựa),Солнцезащитные очки (не пластиковые),Kacamata hitam (bukan plastik),なし,N/A,有料,燃やせないごみ
酸素ボンベ,Oxygen cylinder,氧气瓶,산소통,Bình oxy,Кислородный баллон,Tabung oksigen,販売店または金属商に相談,Consult retailer or metal dealer.,-,市で収集しないもの
サンダル,Sandals,凉鞋,샌들,Dép sandal,Сандалии,Sandal,なし,None.,有料,燃やせるごみ
三輪車（子供用遊具）,Tricycle (children's playground equipment),三轮车（儿童游乐设备）,세발자전거 (어린이 놀이기구),Xe đạp ba bánh (thiết bị sân chơi trẻ em),Трехколесный велосипед (детская игровая площадка),Sepeda roda tiga (mainan anak),リユース（再利用）収集対象,Eligible for reuse collection.,有料,大型ごみ
シーツ・ボアシーツ,Sheets / Boa sheets,床单/绒面床单,시트/보아 시트,Ga trải giường / Ga boa,Простыни / Плюшевые простыни,Seprai / Seprai boa,綿50％以上の薄手の古布は、古布の無料回収に出すと資源に！,Thin old cloth (over 50% cotton) is recyclable (free collection).,有料,燃やせるごみ
CD（ケースを含む）,CD (including case),CD (含外壳),CD (케이스 포함),Đĩa CD (bao gồm cả vỏ),CD (включая футляр),CD (termasuk casing),なし,None.,有料,燃やせるごみ
CDラジカセ,CD radio cassette recorder,CD收录机,CD 라디오 카세트,Đầu đĩa CD kiêm radio cassette,CD-магнитола,Pemutar kaset radio CD,小型家電の無料回収に出すと資源に！,Recyclable through free small appliance collection.,有料,燃やせないごみ
シール,Stickers,贴纸,스티커,Nhãn dán,Наклейки,Stiker,なし,None.,有料,燃やせるごみ
シール台紙,Sticker backing paper,贴纸底纸,스티커 받침대,Giấy nền decal,Подложка для наклеек,Kertas alas stiker,なし,None.,無料,雑がみ
シェーバー,Shaver,剃须刀,면도기,Máy cạo râu,Бритва,Pencukur,厚紙などで包んで、「キケン」と表示／電気式は、小型家電の無料回収に出すと資源に！,"Wrap in thick paper, label ""DANGER."" Electric type is recyclable.",有料,燃やせないごみ
ジェットヒーター,Jet heater,喷射式加热器,제트 히터,Máy sưởi phản lực,Реактивный обогреватель,Pemanas jet,なし,None.,有料,大型ごみ
歯間ブラシ,Interdental brush,牙间刷,치간 칫솔,Bàn chải kẽ răng,Межзубная щетка,Sikat interdental,なし,None.,有料,燃やせるごみ
辞書,Dictionary,词典,사전,Từ điển,Словарь,Kamus,古紙（新聞・雑誌・ダンボール）の無料回収のページから、集団資源回収や回収拠点のご利用方法をお調べいただけます。／やむを得ない場合は「燃やせるごみ」で収集,"Check resource collection points. If unavoidable, dispose as combustible waste.",-,集団資源回収など
下着,Underwear,内衣,속옷,Đồ lót,Нижнее белье,Pakaian dalam,綿50％以上の薄手の古布は、古布の無料回収に出すと資源に！,Thin old cloth (over 50% cotton) is recyclable (free collection).,有料,燃やせるごみ
下敷,Desk pad / Underlay,垫板,책받침,Tấm lót bàn,Подкладка,Alas meja,紙製は「雑がみ」,"Paper items are ""Miscellaneous Paper.""",有料,燃やせるごみ
しちりん,Shichirin (charcoal brazier),七輪 (木炭炉),시치린 (화로),Bếp than Shichirin,Ситирин (угольная жаровня),Shichirin (tungku arang),なし,None.,有料,燃やせないごみ
湿度計,Hygrometer,湿度计,습도계,Máy đo độ ẩm,Гигрометр,Higrometer,電子式は、小型家電の無料回収に出すと資源に！,Electronic types are recyclable (free small appliance collection).,有料,燃やせないごみ
湿布,Poultice / Patch,湿布,파스,Miếng dán chườm,Компресс,Plester kompres,なし,None.,有料,燃やせるごみ
湿布の外袋（紙製）,Poultice outer bag (paper),湿布外袋 (纸制),파스 외부 포장 (종이),Túi ngoài miếng dán (bằng giấy),Внешний пакет компресса (бумажный),Kantong luar plester (kertas),なし,None.,無料,雑がみ
湿布の表面に張られた薄いフィルム,Thin film on the surface of the poultice,湿布表面附着的薄膜,파스 표면에 부착된 얇은 필름,Màng mỏng dán trên bề mặt miếng dán,Тонкая пленка на поверхности компресса,Film tipis yang ditempel di permukaan plester,なし,None.,無料,容器包装プラスチック
辞典,Encyclopedia / Dictionary,辞典,사전,Từ điển,Энциклопедия / Словарь,Kamus,やむを得ず出せない場合は「燃やせるごみ」で収集,"If unavoidable, dispose as combustible waste.",-,集団資源回収など
自転車,Bicycle,自行车,자전거,Xe đạp,Велосипед,Sepeda,リユース（再利用）収集対象,Eligible for reuse collection.,有料,大型ごみ
自転車のタイヤ・チューブ,Bicycle tire and tube,自行车轮胎和内胎,자전거 타이어/튜브,Lốp và săm xe đạp,Шины и камеры для велосипеда,Ban dan ban dalam sepeda,なし,None.,有料,燃やせるごみ
自転車の輪（リム）・チェーン,Bicycle wheel (rim) and chain,自行车轮圈和链条,자전거 휠(림)/체인,Vành xe (niềng) và xích xe đạp,Обод и цепь велосипеда,Pelek dan rantai sepeda,なし,None.,有料,燃やせないごみ
自動車,Automobile / Car,汽车,자동차,Ô tô,Автомобиль,Mobil,札幌地区自動車解体処理共同組合に相談（871-7555）,Consult Sapporo Auto Dismantling Association (871-7555).,-,市で収集しないもの
自動車シート（座席）,Car seat,汽车座椅,자동차 시트 (좌석),Ghế ô tô,Автомобильное сиденье,Jok mobil,なし,None.,有料,大型ごみ
自動車のワイパー,Car wiper,汽车雨刮器,자동차 와이퍼,Cần gạt nước ô tô,Автомобильный стеклоочиститель,Wiper mobil,なし,None.,有料,燃やせないごみ
竹刀,Shinai (bamboo sword),竹刀,죽도 (검도),Thanh kiếm tre (Shinai),Синай (бамбуковый меч),Shinai (pedang bambu),なし,None.,有料,大型ごみ
芝（土のついているもの）,Lawn (with soil attached),草皮（带土）,잔디 (흙이 묻은 것),Cỏ (có dính đất),Газон (с почвой),Rumput (yang masih menempel tanah),なるべく小袋で／刈芝は「枝・葉・草」,"Use small bags if possible. Cut grass is ""Branches, leaves, grass.""",有料,燃やせないごみ
芝刈り機,Lawn mower,割草机,잔디 깎는 기계,Máy cắt cỏ,Газонокосилка,Mesin pemotong rumput,エンジン付は販売店へ／電動式は、小型家電の無料回収に出すと資源に！,Engine models to retailer. Electric models are recyclable.,有料,大型ごみ
シャープペンシル,Mechanical pencil,自动铅笔,샤프 펜슬,Bút chì bấm,Карандаш механический,Pensil mekanik,なし,None.,有料,燃やせるごみ
