id,名称,住所,方書,電話番号,回収形態,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,事前連絡,備考,対象品目
865,エネオス藻岩店,北海道札幌市南区 南35条11-1-8,なし,011-581-0616,B,なし,なし,なし,なし,なし,なし,使用済み食用油
866,びっくりドンキー藤野店,北海道札幌市南区 石山1条9-486-1,なし,011-592-7777,A,なし,なし,なし,なし,なし,なし,使用済み食用油
867,南消防署石山出張所,北海道札幌市南区 石山2条4,なし,011-591-8358,B,なし,なし,なし,なし,なし,なし,使用済み食用油
868,ザ・ビッグ石山店,北海道札幌市南区 石山2条9-7-58,なし,011-594-2910,B,なし,なし,なし,なし,なし,なし,使用済み食用油
869,ラルズマート石山店,北海道札幌市南区 石山東4-8-33,なし,011-592-2655,B,なし,なし,なし,なし,なし,なし,使用済み食用油
870,芸術の森地区まちづくりセンター,北海道札幌市南区 石山東7-1-31,なし,011-592-7009,B,なし,なし,なし,なし,なし,なし,使用済み食用油
871,南老人福祉センター,北海道札幌市南区 石山78-68,なし,011-591-3100,B,なし,なし,なし,なし,なし,なし,使用済み食用油
872,イオン札幌藻岩店,北海道札幌市南区 川沿2条2-1-1,なし,011-571-3100,B,なし,なし,なし,なし,なし,なし,使用済み食用油
873,南消防署川沿出張所,北海道札幌市南区 川沿2条3,なし,011-571-2002,B,なし,なし,なし,なし,なし,なし,使用済み食用油
874,南区体育館,北海道札幌市南区 川沿4条2-2-1,なし,011-571-5171,B,なし,なし,なし,なし,なし,なし,使用済み食用油
875,コープさっぽろSocia,北海道札幌市南区 川沿5条2-3-10,なし,011-571-5141,B,なし,なし,なし,なし,なし,なし,使用済み食用油
876,ビッグハウスサウス,北海道札幌市南区 川沿15条1-1-55,なし,011-578-3300,B,なし,なし,なし,なし,なし,なし,使用済み食用油
877,エネオスチャレンジ川沿店,北海道札幌市南区 川沿15条1-1-65,なし,011-572-7271,B,なし,なし,なし,なし,なし,なし,使用済み食用油
878,マックスバリュ澄川店,北海道札幌市南区 澄川4条2-2-6,なし,011-813-0881,B,なし,なし,なし,なし,なし,なし,使用済み食用油
879,南消防署澄川出張所,北海道札幌市南区 澄川4条6,なし,011-811-2611,B,なし,なし,なし,なし,なし,なし,使用済み食用油
880,コープさっぽろ西岡店,北海道札幌市南区 澄川6条4-1-1,なし,011-822-2711,B,なし,なし,なし,なし,なし,なし,使用済み食用油
881,エネオス澄川店,北海道札幌市南区 澄川6条4-11-12,なし,011-813-6308,B,なし,なし,なし,なし,なし,なし,使用済み食用油
882,札幌市保養センター駒岡,北海道札幌市南区 真駒内600-20,なし,011-583-8553,B,なし,なし,なし,なし,なし,なし,使用済み食用油
883,豊平・南清掃事務所,北海道札幌市南区 真駒内602,なし,011-583-8613,B,なし,なし,なし,なし,なし,なし,使用済み食用油
884,ラルズマート真駒内店,北海道札幌市西区 真駒内幸町1-2-3,なし,011-583-6668,B,なし,なし,なし,なし,なし,なし,使用済み食用油
885,南消防署,北海道札幌市西区 真駒内幸町1,なし,011-581-2100,B,なし,なし,なし,なし,なし,なし,使用済み食用油
886,南区役所,北海道札幌市西区 真駒内幸町2,なし,011-582-4705,B,なし,なし,なし,なし,なし,なし,使用済み食用油
887,豊平川さけ科学館,北海道札幌市南区 真駒内公園2-1,なし,011-582-7555,B,なし,なし,なし,なし,なし,なし,使用済み食用油
888,ホクレンショップ中ノ沢店,北海道札幌市南区 中ノ沢2-2,なし,011-573-2560,B,なし,なし,なし,なし,なし,なし,使用済み食用油
889,南消防署藤野出張所,北海道札幌市南区 藤野2条3,なし,011-593-1119,B,なし,なし,なし,なし,なし,なし,使用済み食用油
890,コープさっぽろ藤野店,北海道札幌市南区 藤野3条6-2-1,なし,011-591-6811,B,なし,なし,なし,なし,なし,なし,使用済み食用油
891,簾舞まちづくりセンター,北海道札幌市南区 簾舞3条6-8-25,なし,011-596-2059,B,なし,なし,なし,なし,なし,なし,使用済み食用油
892,南消防署定山渓出張所,北海道札幌市南区 定山渓温泉西2,なし,011-598-2384,B,なし,なし,なし,なし,なし,なし,使用済み食用油
893,定山渓まちづくりセンター,北海道札幌市南区 定山渓温泉東4-315-4,なし,011-598-2191,B,なし,なし,なし,なし,なし,なし,使用済み食用油
894,びっくりドンキー琴似店,北海道札幌市西区 琴似2条1-1-5,なし,011-640-3064,A,なし,なし,なし,なし,なし,なし,使用済み食用油
895,イトーヨーカドー琴似店,北海道札幌市西区 琴似2条1-4-1,なし,011-613-5411,B,なし,なし,なし,なし,なし,なし,使用済み食用油
896,マックスバリュ琴似店,北海道札幌市西区 琴似2条4-1-8,なし,011-641-3961,B,なし,なし,なし,なし,なし,なし,使用済み食用油
897,西区役所,北海道札幌市西区 琴似2条7-1-1,なし,011-641-6921,B,なし,なし,なし,なし,なし,なし,使用済み食用油
898,琴似二十四軒まちづくりセンター,北海道札幌市西区 琴似2条7-1-10,なし,011-621-2508,B,なし,なし,なし,なし,なし,なし,使用済み食用油
899,マックスバリュ琴似3条店,北海道札幌市西区 琴似3条7-5-16,なし,011-633-0611,B,なし,なし,なし,なし,なし,なし,使用済み食用油
900,コープさっぽろ二十四軒店,北海道札幌市西区 二十四軒3条1-2-30,なし,011-612-0931,B,なし,なし,なし,なし,なし,なし,使用済み食用油
901,西地区リサイクルセンター,北海道札幌市西区 二十四軒4条1-5,"ＪＲ高架下リサイクルプラザ
二十四軒サテライト内",011-211-2928,B,なし,なし,なし,なし,なし,なし,使用済み食用油
902,西老人福祉センター,北海道札幌市西区 二十四軒4条3-4-1,なし,011-641-4001,B,なし,なし,なし,なし,なし,なし,使用済み食用油
903,西消防署西野出張所,北海道札幌市西区 西野3条2,なし,011-661-1812,B,なし,なし,なし,なし,なし,なし,使用済み食用油
904,びっくりドンキー西野店,北海道札幌市西区 西野3条3-4-7,なし,011-669-2263,A,なし,なし,なし,なし,なし,なし,使用済み食用油
905,コープさっぽろにしの店,北海道札幌市西区 西野3条3-2-5,なし,011-662-1122,B,なし,なし,なし,なし,なし,なし,使用済み食用油
906,コスモ石油ワンダーステーション西野店,北海道札幌市西区 西野4条2-1-23,なし,011-662-6252,B,なし,なし,なし,なし,なし,なし,使用済み食用油
907,西野まちづくりセンター,北海道札幌市西区 西野6条3-14-16,なし,011-663-0360,B,なし,なし,なし,なし,なし,なし,使用済み食用油
908,コスモ石油バードタウン西野店,北海道札幌市西区 西野6条8-1-1,なし,011-665-4065,B,なし,なし,なし,なし,なし,なし,使用済み食用油
909,マックスバリュエクスプレス発寒南駅前店,北海道札幌市西区 西町北8-5-19,なし,011-666-6551,B,なし,なし,なし,なし,なし,なし,使用済み食用油
910,西町まちづくりセンター,北海道札幌市西区 西町南9-2-2,なし,011-661-2591,B,なし,なし,なし,なし,なし,なし,使用済み食用油
911,ペペサーレ西町店,北海道札幌市西区 西町南13-3-2,なし,011-669-7183,A,なし,なし,なし,なし,なし,なし,使用済み食用油
912,八軒まちづくりセンター,北海道札幌市西区 八軒1条西1-7-1,なし,011-611-2221,B,なし,なし,なし,なし,なし,なし,使用済み食用油
913,西消防署八軒出張所,北海道札幌市西区 八軒1条東3,なし,011-612-0119,B,なし,なし,なし,なし,なし,なし,使用済み食用油
914,フレッティ琴似店,北海道札幌市西区 八軒5条東1-5-1,なし,011-631-3048,B,なし,なし,なし,なし,なし,なし,使用済み食用油
915,マックスバリュ八軒5条店,北海道札幌市西区 八軒5条西4-3-1,なし,011-632-5330,B,なし,なし,なし,なし,なし,なし,使用済み食用油
916,農試公園管理事務所,北海道札幌市西区 八軒5条西6-1,なし,011-615-3680,B,なし,なし,なし,なし,なし,なし,使用済み食用油
917,八軒中央まちづくりセンター,北海道札幌市西区 八軒6条西2-1-11,なし,011-615-9588,B,なし,なし,なし,なし,なし,なし,使用済み食用油
918,動物管理センター,北海道札幌市西区 八軒9条東5-1-31,なし,011-736-6134,B,なし,なし,なし,なし,なし,なし,使用済み食用油
919,ダイイチ八軒店,北海道札幌市西区 八軒10条東5,なし,011-708-4567,B,なし,なし,なし,なし,なし,なし,使用済み食用油
920,生涯学習総合センター,北海道札幌市西区 札幌西区宮の沢1条1-1-10,なし,011-671-2200,B,なし,なし,なし,なし,なし,なし,使用済み食用油
921,宮の沢バスターミナル,北海道札幌市西区 宮の沢1条1-1-17,なし,011-665-5878,B,なし,なし,なし,なし,なし,なし,使用済み食用油
922,宮の沢屋内競技場,北海道札幌市西区 札幌西区宮の沢490-9,なし,011-664-6363,B,なし,なし,なし,なし,なし,なし,使用済み食用油
923,ラルズマート山の手店,北海道札幌市西区 山の手2条6-5-20,なし,011-621-6719,B,なし,なし,なし,なし,なし,なし,使用済み食用油
924,山の手会館,北海道札幌市西区 山の手3条2-5-20,なし,011-642-3866,B,なし,なし,なし,なし,なし,なし,使用済み食用油
925,山の手まちづくりセンター,北海道札幌市西区 山の手3条7-1-38,なし,011-613-1929,B,なし,なし,なし,なし,なし,なし,使用済み食用油
926,エネオス三角山店,北海道札幌市西区 山の手3条11-1-16,なし,011-642-6565,B,なし,なし,なし,なし,なし,なし,使用済み食用油
927,西消防署平和出張所,北海道札幌市西区 平和2条3,なし,011-661-2822,B,なし,なし,なし,なし,なし,なし,使用済み食用油
928,発寒まちづくりセンター,北海道札幌市西区 発寒5条3-12-14,なし,011-664-6411,B,なし,なし,なし,なし,なし,なし,使用済み食用油
929,西区体育館温水プール,北海道札幌市西区 発寒5条8-9-1,なし,011-662-2149,B,なし,なし,なし,なし,なし,なし,使用済み食用油
930,ビッグハウスウエスト,北海道札幌市西区 発寒7条9-4-33,なし,011-661-2330,B,なし,なし,なし,なし,なし,なし,使用済み食用油
931,イオン札幌発寒店,北海道札幌市西区 発寒8条12-1-1,なし,011-669-5000,B,なし,なし,なし,なし,なし,なし,使用済み食用油
932,有限会社奈良木燃料店,北海道札幌市西区 発寒9条13-5-5,なし,011-667-3070,B,なし,なし,なし,なし,なし,なし,使用済み食用油
933,DCMホーマック発寒追分通店,北海道札幌市西区 発寒9条14-516-210,なし,011-669-3600,B,なし,なし,なし,なし,なし,なし,使用済み食用油
934,ダイイチ発寒中央駅前店,北海道札幌市西区 発寒10条3-1-11,なし,011-668-5678,B,なし,なし,なし,なし,なし,なし,使用済み食用油
935,西消防署,北海道札幌市西区 発寒10条4,なし,011-667-2100,B,なし,なし,なし,なし,なし,なし,使用済み食用油
936,発寒北まちづくりセンター,北海道札幌市西区 発寒12条4-1-3,なし,011-661-6262,B,なし,なし,なし,なし,なし,なし,使用済み食用油
937,エネオス東発寒店,北海道札幌市西区 発寒14条12-2-2,なし,011-661-1297,B,なし,なし,なし,なし,なし,なし,使用済み食用油
938,ラルズマート発寒店,北海道札幌市西区 発寒14条4-2-23,なし,011-666-1212,B,なし,なし,なし,なし,なし,なし,使用済み食用油
939,西清掃事務所,北海道札幌市西区 発寒15条14-2-1,なし,011-664-0053,B,なし,なし,なし,なし,なし,なし,使用済み食用油
940,イオンスーパーセンター手稲山口店,北海道札幌市手稲区 明日風6-1-1,なし,011-669-8201,B,なし,なし,なし,なし,なし,なし,使用済み食用油
941,手稲区体育館,北海道札幌市手稲区 曙2条1-2-46,なし,011-684-0088,B,なし,なし,なし,なし,なし,なし,使用済み食用油
942,手稲曙温水プール,北海道札幌市手稲区 曙2条1-2-60,なし,011-683-0676,B,なし,なし,なし,なし,なし,なし,使用済み食用油
943,コスモ石油手稲曙通店,北海道札幌市手稲区 曙4条3-18-20,なし,011-682-4070,B,なし,なし,なし,なし,なし,なし,使用済み食用油
944,手稲土木センター,北海道札幌市手稲区 曙5条5-2-1,なし,011-681-4011,B,なし,なし,なし,なし,なし,なし,使用済み食用油
945,手稲鉄北まちづくりセンター,北海道札幌市手稲区 曙7条3-6-22,なし,011-684-0048,B,なし,なし,なし,なし,なし,なし,使用済み食用油
946,ジョイ稲穂店,北海道札幌市手稲区 稲穂2条6-270-1,なし,011-684-5020,B,なし,なし,なし,なし,なし,なし,使用済み食用油
947,タイヤ館手稲,北海道札幌市手稲区 稲穂3条3-10-40,なし,011-694-0311,B,なし,なし,なし,なし,なし,なし,使用済み食用油
948,稲穂金山まちづくりセンター,北海道札幌市手稲区 稲穂3条5-1-28,なし,011-684-4020,B,なし,なし,なし,なし,なし,なし,使用済み食用油
949,手稲消防署稲穂出張所,北海道札幌市手稲区 稲穂3条6,なし,011-682-7477,B,なし,なし,なし,なし,なし,なし,使用済み食用油
950,山口緑地パークゴルフ場スタートハウス,北海道札幌市手稲区 山口295-1,なし,011-681-3940,B,なし,なし,なし,なし,なし,なし,使用済み食用油
951,ビッグハウス星置店,北海道札幌市手稲区 手稲山口478,なし,011-686-2300,B,なし,なし,なし,なし,なし,なし,使用済み食用油
952,手稲消防署,北海道札幌市手稲区 手稲本町2条5,なし,011-681-2100,B,なし,なし,なし,なし,なし,なし,使用済み食用油
953,富丘西宮の沢まちづくりセンター,北海道札幌市手稲区 富丘2条2-1-1,なし,011-685-4745,B,なし,なし,なし,なし,なし,なし,使用済み食用油
954,びっくりドンキー手稲富丘店,北海道札幌市手稲区 富丘3条1-10-1,なし,011-699-2362,A,なし,なし,なし,なし,なし,なし,使用済み食用油
955,コープさっぽろ西宮の沢店,北海道札幌市手稲区 西宮の沢3条1-12-1,なし,011-665-0051,B,なし,なし,なし,なし,なし,なし,使用済み食用油
956,エネオスチャレンジ手稲インター店,北海道札幌市手稲区 西宮の沢4条1-2-7,なし,011-661-2333,B,なし,なし,なし,なし,なし,なし,使用済み食用油
957,手稲消防署西宮の沢出張所,北海道札幌市手稲区 西宮の沢4条1,なし,011-662-6690,B,なし,なし,なし,なし,なし,なし,使用済み食用油
958,ラルズストア宮の沢店,北海道札幌市手稲区 西宮の沢5条2-11-20,なし,011-684-5678,B,なし,なし,なし,なし,なし,なし,使用済み食用油
959,マックスバリュ新発寒店,北海道札幌市手稲区 新発寒2条1-1-3,なし,011-668-3670,B,なし,なし,なし,なし,なし,なし,使用済み食用油
960,ホクレンショップ新発寒店,北海道札幌市手稲区 新発寒4条1-1-60,なし,011-665-8050,B,なし,なし,なし,なし,なし,なし,使用済み食用油
961,新発寒まちづくりセンター,北海道札幌市手稲区 新発寒5条4-2-2,新発寒地区センター内,011-684-5557,B,なし,なし,なし,なし,なし,なし,使用済み食用油
962,コープさっぽろ新はっさむ店,北海道札幌市手稲区 新発寒5条5-1-10,なし,011-694-5141,B,なし,なし,なし,なし,なし,なし,使用済み食用油
963,手稲稲積公園管理事務所,北海道札幌市手稲区 前田1条5-1,なし,011-685-1010,B,なし,なし,なし,なし,なし,なし,使用済み食用油
964,手稲区民センター,北海道札幌市手稲区 前田1条11,なし,011-681-5121,B,なし,なし,なし,なし,なし,なし,使用済み食用油
965,エネオス手稲前田店,北海道札幌市手稲区 前田5条6-3-29,なし,011-683-6266,B,なし,なし,なし,なし,なし,なし,使用済み食用油
966,びっくりドンキー手稲前田店,北海道札幌市手稲区 前田5条13-3-25,なし,011-699-7601,A,なし,なし,なし,なし,なし,なし,使用済み食用油
967,手稲消防署前田出張所,北海道札幌市手稲区 前田6条5,なし,011-694-6119,B,なし,なし,なし,なし,なし,なし,使用済み食用油
968,ホクレンショップ前田店,北海道札幌市手稲区 前田6条15-3-30,なし,683-4275,B,なし,なし,なし,なし,なし,なし,使用済み食用油
969,手稲消防署曙出張所,北海道札幌市手稲区 前田6条16,なし,011-681-1119,B,なし,なし,なし,なし,なし,なし,使用済み食用油
970,フードDBOSCO,北海道札幌市手稲区 前田7条11-2-10,なし,011-691-5000,B,なし,なし,なし,なし,なし,なし,使用済み食用油
971,ザ・ビッグエクスプレス前田店,北海道札幌市手稲区 前田8条10-6-25,なし,011-684-3666,B,なし,なし,なし,なし,なし,なし,使用済み食用油
972,コープさっぽろ星置店,北海道札幌市手稲区 星置1条3-2-2,なし,011-685-7071,B,なし,なし,なし,なし,なし,なし,使用済み食用油
973,星置スケート場,北海道札幌市手稲区 星置2条1-12-1,なし,011-681-8877,B,なし,なし,なし,なし,なし,なし,使用済み食用油
974,星置まちづくりセンター,北海道札幌市手稲区 星置2条3-14-1,星置地区センター内,011-695-3222,B,なし,なし,なし,なし,なし,なし,使用済み食用油
